Tue Apr 11 2017,10:30 pm,New Orleans Pelicans,96,Los Angeles Lakers,108,Box Score,
Tue Apr 11 2017,8:00 pm,Oklahoma City Thunder,100,Minnesota Timberwolves,98,Box Score,
Tue Apr 11 2017,10:30 pm,Phoenix Suns,104,Sacramento Kings,129,Box Score,
Wed Apr 12 2017,8:00 pm,Milwaukee Bucks,94,Boston Celtics,112,Box Score,
Wed Apr 12 2017,8:00 pm,Brooklyn Nets,73,Chicago Bulls,112,Box Score,
Wed Apr 12 2017,8:00 pm,Toronto Raptors,98,Cleveland Cavaliers,83,Box Score,
Wed Apr 12 2017,10:30 pm,Los Angeles Lakers,94,Golden State Warriors,109,Box Score,
Wed Apr 12 2017,8:00 pm,Minnesota Timberwolves,118,Houston Rockets,123,Box Score,
Wed Apr 12 2017,8:00 pm,Atlanta Hawks,86,Indiana Pacers,104,Box Score,
Wed Apr 12 2017,10:30 pm,Sacramento Kings,95,Los Angeles Clippers,115,Box Score,
Wed Apr 12 2017,8:00 pm,Dallas Mavericks,100,Memphis Grizzlies,93,Box Score,
Wed Apr 12 2017,8:00 pm,Washington Wizards,102,Miami Heat,110,Box Score,
Wed Apr 12 2017,8:00 pm,Philadelphia 76ers,113,New York Knicks,114,Box Score,
Wed Apr 12 2017,8:00 pm,Denver Nuggets,111,Oklahoma City Thunder,105,Box Score,
Wed Apr 12 2017,8:00 pm,Detroit Pistons,109,Orlando Magic,113,Box Score,
Wed Apr 12 2017,10:30 pm,New Orleans Pelicans,103,Portland Trail Blazers,100,Box Score,
Wed Apr 12 2017,9:00 pm,San Antonio Spurs,97,Utah Jazz,101,Box Score,
Sat Apr 15 2017,3:00 pm,Indiana Pacers,108,Cleveland Cavaliers,109,Box Score,
Sat Apr 15 2017,10:30 pm,Utah Jazz,97,Los Angeles Clippers,95,Box Score,
Sat Apr 15 2017,8:00 pm,Memphis Grizzlies,82,San Antonio Spurs,111,Box Score,
Sat Apr 15 2017,5:30 pm,Milwaukee Bucks,97,Toronto Raptors,83,Box Score,
Sun Apr 16 2017,6:30 pm,Chicago Bulls,106,Boston Celtics,102,Box Score,
Sun Apr 16 2017,3:30 pm,Portland Trail Blazers,109,Golden State Warriors,121,Box Score,
Sun Apr 16 2017,9:00 pm,Oklahoma City Thunder,87,Houston Rockets,118,Box Score,
Sun Apr 16 2017,1:00 pm,Atlanta Hawks,107,Washington Wizards,114,Box Score,
Mon Apr 17 2017,7:00 pm,Indiana Pacers,111,Cleveland Cavaliers,117,Box Score,
Mon Apr 17 2017,9:30 pm,Memphis Grizzlies,82,San Antonio Spurs,96,Box Score,
Tue Apr 18 2017,8:00 pm,Chicago Bulls,111,Boston Celtics,97,Box Score,
Tue Apr 18 2017,10:30 pm,Utah Jazz,91,Los Angeles Clippers,99,Box Score,
Sat Apr 22 2017,8:00 pm,San Antonio Spurs,108,Memphis Grizzlies,110,Box Score,
Sat Apr 22 2017,3:00 pm,Toronto Raptors,87,Milwaukee Bucks,76,Box Score,
Sat Apr 22 2017,10:30 pm,Golden State Warriors,119,Portland Trail Blazers,113,Box Score,
Sun Apr 23 2017,6:30 pm,Boston Celtics,104,Chicago Bulls,95,Box Score,
Sun Apr 23 2017,1:00 pm,Cleveland Cavaliers,106,Indiana Pacers,102,Box Score,
Sun Apr 23 2017,3:30 pm,Houston Rockets,113,Oklahoma City Thunder,109,Box Score,
Sun Apr 23 2017,9:00 pm,Los Angeles Clippers,98,Utah Jazz,105,Box Score,
Mon Apr 24 2017,8:00 pm,Washington Wizards,101,Atlanta Hawks,111,Box Score,
Mon Apr 24 2017,10:30 pm,Golden State Warriors,128,Portland Trail Blazers,103,Box Score,
Mon Apr 24 2017,7:00 pm,Milwaukee Bucks,93,Toronto Raptors,118,Box Score,
Tue Apr 25 2017,8:00 pm,Oklahoma City Thunder,99,Houston Rockets,105,Box Score,
Tue Apr 25 2017,10:30 pm,Utah Jazz,96,Los Angeles Clippers,92,Box Score,OT
Tue Apr 25 2017,9:00 pm,Memphis Grizzlies,103,San Antonio Spurs,116,Box Score,
Wed Apr 26 2017,8:30 pm,Chicago Bulls,97,Boston Celtics,108,Box Score,
Wed Apr 26 2017,6:00 pm,Atlanta Hawks,99,Washington Wizards,103,Box Score,
Thu Apr 27 2017,9:30 pm,San Antonio Spurs,103,Memphis Grizzlies,96,Box Score,
Thu Apr 27 2017,7:00 pm,Toronto Raptors,92,Milwaukee Bucks,89,Box Score,
Fri Apr 28 2017,7:30 pm,Washington Wizards,115,Atlanta Hawks,99,Box Score,
Fri Apr 28 2017,8:00 pm,Boston Celtics,105,Chicago Bulls,83,Box Score,
Fri Apr 28 2017,10:30 pm,Los Angeles Clippers,98,Utah Jazz,93,Box Score,
Sun Apr 30 2017,1:00 pm,Washington Wizards,111,Boston Celtics,123,Box Score,
Sun Apr 30 2017,3:30 pm,Utah Jazz,104,Los Angeles Clippers,91,Box Score,
Wed Mar 1 2017,7:30 pm,Dallas Mavericks,95,Atlanta Hawks,100,Box Score,,
Wed Mar 1 2017,8:00 pm,Cleveland Cavaliers,99,Boston Celtics,103,Box Score,,
Wed Mar 1 2017,10:30 pm,Houston Rockets,122,Los Angeles Clippers,103,Box Score,,
Wed Mar 1 2017,7:30 pm,Philadelphia 76ers,98,Miami Heat,125,Box Score,,
Wed Mar 1 2017,8:00 pm,Denver Nuggets,110,Milwaukee Bucks,98,Box Score,,
Wed Mar 1 2017,8:00 pm,Detroit Pistons,86,New Orleans Pelicans,109,Box Score,,
Wed Mar 1 2017,7:00 pm,New York Knicks,101,Orlando Magic,90,Box Score,,
Wed Mar 1 2017,10:30 pm,Brooklyn Nets,109,Sacramento Kings,100,Box Score,,
Wed Mar 1 2017,8:30 pm,Indiana Pacers,99,San Antonio Spurs,100,Box Score,,
Wed Mar 1 2017,7:30 pm,Washington Wizards,105,Toronto Raptors,96,Box Score,,
Wed Mar 1 2017,9:00 pm,Minnesota Timberwolves,107,Utah Jazz,80,Box Score,,
Thu Mar 2 2017,8:00 pm,Golden State Warriors,87,Chicago Bulls,94,Box Score,,
Thu Mar 2 2017,9:00 pm,Charlotte Hornets,103,Phoenix Suns,120,Box Score,,
Thu Mar 2 2017,10:30 pm,Oklahoma City Thunder,109,Portland Trail Blazers,114,Box Score,,
